,ID,chroma_stft,rmse,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,num_label
0,q9AJkEfjEtQYaUFVbbFl1cN7TKH3,0.3810453414916992,0.009664230048656464,2102.9639484452405,1926.1919760048086,4049.31884765625,0.21630859375,-598.1702880859375,41.49702453613281,-8.273355484008789,20.115509033203125,0.42228829860687256,-4.561508655548097,-7.262103080749513,-10.534085273742676,-1.0608315467834473,-2.4446001052856445,2.321265459060669,-2.3706769943237305,-7.333542346954347,-1.472185492515564,-6.515129566192628,-8.267203330993652,-9.294160842895508,-9.232047080993652,-4.381029129028319,-7.201508522033691,0
1,9ES7TwETrndwNvdJMCShXkXT7qw1,0.3336087167263031,0.031331948935985565,1943.733158703684,1798.7396435558387,3936.703973067434,0.16529605263157895,-455.71978759765625,58.24040603637695,3.1641263961791988,7.609179019927978,-31.820890426635746,-21.05193519592285,-21.180988311767575,-10.308061599731444,-3.9430668354034415,-12.683424949645994,-10.93767261505127,-3.8629825115203857,-0.10421893745660782,-6.0034751892089835,-2.004191398620605,-5.096497535705566,-9.776108741760254,-8.427788734436035,-3.5108978748321533,1.5349003076553345,0
2,iYwmYc9CdlSuzqGwIlXNWI6eFpm1,0.41651684045791626,0.050443168729543686,2774.0821825370904,2000.3958120978518,5152.900261278974,0.22177130760209712,-368.6591491699219,39.26245880126953,-26.536548614501953,4.762044429779053,-14.892213821411133,-0.585259199142456,-20.757328033447266,-2.564260482788086,-12.038000106811525,0.86489337682724,-2.5295093059539795,-5.070924758911133,3.7392809391021733,-8.215250015258789,0.5505306124687195,-9.085087776184082,-1.5193840265274048,-3.672889709472656,-6.673995018005371,-3.4660348892211914,0
3,333NjqA1TfZJuICEdXSkPhVz0LA3,0.345191091299057,0.03797468915581703,1875.637389658177,1735.9290223131054,3607.122696893064,0.14181324512283236,-420.9852294921875,58.01089477539063,-16.392168045043945,7.6805315017700195,-23.53014945983887,-7.474970817565918,-3.7886536121368413,-9.690320014953613,-9.6470308303833,-1.9566558599472048,-5.3384737968444815,-9.521249771118164,-4.489461898803711,-12.170339584350586,-6.813534259796143,0.9318812489509584,-2.725922107696533,-9.531888961791992,-5.558154582977295,-4.377888202667236,0
4,gpreuyMvtSa8HJhGaliJ6E1Hwx53,0.3820127844810486,0.02692590095102787,1640.004403344935,1530.4763546850797,2820.6607216282896,0.14543071546052633,-438.6506042480469,98.89054107666016,-33.06820297241211,3.1600124835968018,2.4289870262146,12.208734512329102,-24.8107967376709,-2.419735908508301,-8.18833065032959,-13.699313163757324,-9.540282249450684,-11.342589378356935,-5.614777088165283,-20.176902770996094,-6.240070343017577,-6.212067127227782,0.9785861372947692,-0.33242958784103394,-3.5430791378021236,-5.669352054595947,0
5,N5TW03mmoXTTHqfhENFFJgSA8ni1,0.3111208975315094,0.0314316563308239,1418.1064840225158,1260.9374189859288,2562.66650390625,0.07779017857142857,-443.5070495605469,57.81813430786133,-8.141331672668457,11.8344087600708,-10.077086448669434,-6.40410852432251,-9.232077598571776,-7.229189395904541,-7.897401809692383,-4.946008205413818,-2.4671094417572017,-6.709582328796388,-3.123284339904785,-0.7973678112030029,-3.2366693019866943,-3.0150599479675293,-0.26108068227767944,-3.2135396003723145,-3.131563663482666,-3.1904306411743164,0
6,tDjXrO1dI4O35JJXPL3ihLvnAzl1,0.3358580470085144,0.05485847219824791,1715.7330449754174,1655.7063847962736,3191.6640337775734,0.1499712775735294,-407.1489868164063,61.41094970703125,-17.533794403076172,2.3931362628936768,-7.704997539520264,-2.937990427017212,-23.06510162353516,-14.254423141479492,-7.3213276863098145,7.271146297454834,-4.173792362213135,-16.09629249572754,-1.4292887449264526,-11.96090030670166,-11.47634983062744,-6.5167236328125,-1.1410408020019531,-11.03449249267578,-11.704864501953125,-5.353534698486328,0
7,EUjlCZyR0xMbOH31Je8knI3UdKO2,0.2549404501914978,0.049752019345760345,1657.8550200862185,1220.9433512439387,2862.8269085305274,0.08797247561416185,-365.58154296875,43.08171081542969,-8.549970626831055,10.815711975097656,-13.76065444946289,-2.479669570922852,-19.084550857543945,-10.724079132080078,-5.1768341064453125,-6.424367427825928,-2.866025447845459,-3.5859663486480717,-1.0409361124038696,-3.083394765853882,1.818810224533081,-1.4431408643722534,-2.7774837017059326,0.4080163240432739,0.08653082698583603,-0.5799771547317505,0
8,E3nlERKGBPcSO2PjEDJ6GrRKiy73,0.400022029876709,0.047231744974851615,2790.268486136098,1761.2801321643537,4695.448208787154,0.2266921251526873,-303.7978210449219,52.60896301269531,-57.27363967895508,33.09444046020508,-44.375186920166016,12.349056243896484,-19.48760223388672,-11.086031913757324,-16.204212188720707,0.8682940602302551,8.109021186828612,-14.458257675170898,0.2431918233633041,-7.120474338531494,3.6495974063873287,-15.40035915374756,-8.112632751464844,-10.504132270812988,-12.106538772583008,-4.288422107696533,0
9,nRH1xhm8zjOVzAPYuBMgGMQtes22,0.21307307481765747,0.04972102865576744,1014.0038945117253,884.4192464259104,1924.5425486010172,0.048841751453488375,-393.4095153808594,48.14413070678711,-11.422035217285154,12.677265167236328,-2.796430349349976,0.7009748816490173,-13.216160774230955,-10.612054824829102,-7.963375568389893,-8.939434051513672,-5.843727111816406,-5.323737144470215,0.5948496460914612,-6.1728105545043945,-3.7427024841308594,-1.9555401802062988,-4.770001411437988,-0.8477749228477478,-3.908248901367188,-1.6958367824554443,0
10,9sAOoNazDOXPars5nzlLzOwuYVW2,0.3702245950698853,0.0568811409175396,1589.9560791677793,1590.3102987256036,3104.2750478580297,0.10405241100993376,-365.2052612304688,82.09114837646484,-24.67108154296875,10.42606258392334,-20.51945304870605,-3.9178459644317623,-18.28972625732422,-12.468050003051758,-12.831743240356445,0.2488476037979126,-9.776190757751463,-9.95456600189209,1.9510819911956787,-11.533145904541016,-7.885287761688232,-13.122370719909668,-12.497007369995115,-15.604456901550293,-6.60221529006958,-8.699612617492676,0
11,MBs72wy9MATqbupZbIaYYCzj7dg1,0.4809958040714264,0.011221205815672873,2187.591777315816,2006.0290745056698,4215.664843023931,0.25799220202137546,-537.1841430664061,39.82778549194336,-1.3889803886413574,19.994123458862305,-2.676182508468628,-4.3324222564697275,-6.49762487411499,-2.585592269897461,-4.707511425018311,-5.261824131011963,-4.734169960021973,-4.588747024536133,1.7302200794219968,-5.362539768218994,-6.005877494812013,-4.128909111022948,-6.249936103820801,-7.071446895599365,-4.300825595855713,-3.6828150749206543,0
12,nC130uADRFZF5vae8qZt2qmpbpi1,0.4509844183921814,0.03441038727760315,2374.642472235689,2011.3075049511974,4503.6577307659645,0.263985011888587,-434.1959838867188,40.174461364746094,-4.4897727966308585,14.518938064575195,-6.5965514183044425,0.9507918953895568,-10.458099365234377,-14.275384902954102,-11.188194274902344,-6.0658793449401855,-3.4974181652069087,-8.993295669555664,-4.262812614440918,-8.702467918395996,-6.59869909286499,-6.375901699066162,-6.4522013664245605,-2.482056140899658,-2.688567876815796,1.0122787952423096,0
13,euld60aqc2OtnNoKYx9P4WDzVM92,0.20670367777347565,0.10716293007135393,932.621560432087,791.4358764967687,1695.1416015625,0.0492464478252924,-330.93060302734375,61.7652359008789,-31.694026947021484,10.347578048706056,-14.85937213897705,-3.103342771530152,-15.246567726135256,-11.811792373657227,-7.892722129821777,-5.956193923950195,-9.212573051452637,-9.105756759643556,-1.3610984086990356,-8.323260307312013,-6.482158660888673,-8.070207595825195,-0.4735285937786102,-3.1982574462890625,-3.3915998935699463,2.4135546684265137,0
14,qJvoAC408vP9fwBWQUAHHxKI39k1,0.4680610895156861,0.033155672252178185,2292.7309165918728,2005.0469242859801,4238.074372944079,0.22005208333333331,-455.6888122558594,35.5728645324707,-23.71719169616699,14.886630058288574,-18.507293701171875,3.929430723190308,-10.04432773590088,3.800524473190308,-6.090275287628174,-4.844668388366699,-6.809754848480225,-8.187237739562987,-1.0735580921173096,-9.488798141479492,-2.9438157081604004,-10.139885902404783,-2.157642364501953,-3.8072583675384517,-0.8469145894050598,-3.307868242263794,0
